category	gene_name	zf gene ID
oxidative_stress_transcription_factors	bach1b	ENSDARG00000002196
oxidative_stress_transcription_factors	bach2a	ENSDARG00000036569
oxidative_stress_transcription_factors	bach2b	ENSDARG00000004074
oxidative_stress_transcription_factors	keap1a	ENSDARG00000016132
oxidative_stress_transcription_factors	keap1b	ENSDARG00000074634
oxidative_stress_transcription_factors	nfe2	ENSDARG00000020606
oxidative_stress_transcription_factors	nfe2l1a	ENSDARG00000030616
oxidative_stress_transcription_factors	nfe2l1a	ENSDARG00000116760
oxidative_stress_transcription_factors	nfe2l1b	ENSDARG00000076533
oxidative_stress_transcription_factors	nfe2l1b	ENSDARG00000114820
oxidative_stress_transcription_factors	nfe2l2a	ENSDARG00000042824
oxidative_stress_transcription_factors	nfe2l2b	ENSDARG00000089697
oxidative_stress_transcription_factors	nfe2l3	ENSDARG00000019810
oxidative_stress_transcription_factors	nfkb1	ENSDARG00000105261
oxidative_stress_transcription_factors	nfkb2	ENSDARG00000038687
oxidative_stress_transcription_factors	nfkb2	ENSDARG00000112821
oxygenases_phase_I	cyp1a	ENSDARG00000098315
oxygenases_phase_I	cyp1b1	ENSDARG00000068934
oxygenases_phase_I	cyp1b1	ENSDARG00000113835
oxygenases_phase_I	cyp1c1	ENSDARG00000101195
oxygenases_phase_I	cyp1c2	ENSDARG00000101789
oxygenases_phase_I	cyp1d1	ENSDARG00000035569
oxygenases_phase_I	cyp2aa11	ENSDARG00000103456
oxygenases_phase_I	cyp2aa12	ENSDARG00000102805
oxygenases_phase_I	cyp2aa1	ENSDARG00000099003
oxygenases_phase_I	cyp2aa2	ENSDARG00000104811
oxygenases_phase_I	cyp2aa3	ENSDARG00000103347
oxygenases_phase_I	cyp2aa4	ENSDARG00000098803
oxygenases_phase_I	cyp2aa6	ENSDARG00000103590
oxygenases_phase_I	cyp2aa7	ENSDARG00000103766
oxygenases_phase_I	cyp2aa8	ENSDARG00000104540
oxygenases_phase_I	cyp2aa9	ENSDARG00000098890
oxygenases_phase_I	cyp2ad2	ENSDARG00000021172
oxygenases_phase_I	cyp2ad3	ENSDARG00000022650
oxygenases_phase_I	cyp2ad6	ENSDARG00000042956
