ID	3.3_con_rep1	3.3_con_rep2	3.3_con_rep3	3.3_bap_rep1	3.3_bap_rep2	3.3_bap_rep3
supt6h	455.6043687	442.4738938	430.242894	453.319821	500.638287	443.7490634
gpt2	454.6256225	469.7862086	471.9250411	477.0015197	521.2751137	496.6129771
eif2c4	453.9778975	472.471477	439.5497652	450.6551438	514.3914951	503.9609511
nop58	453.5718524	454.3724953	472.4138095	469.2505269	489.8078109	515.8286733
NUP153	453.2356768	610.2947182	467.9428174	463.0374835	460.8956775	431.4708651
akap1b	453.0060236	405.4237325	402.2124764	316.0855435	364.6129326	325.1791967
abcf2a	452.3915153	467.8190109	471.2938091	427.5115329	464.201872	488.723716
serbp1	452.3668892	355.728547	394.3781045	410.63492	413.9888671	405.3050411
UBN2 (1 of 2)	452.1761797	366.5165106	393.5452837	359.4106086	435.9341425	456.8103239
ybx1	451.4889383	502.9674024	487.3488377	506.0164614	628.2377555	517.6013889
hectd1	451.322855	393.2187106	388.7043367	410.835184	400.4292607	375.0849758
aldh18a1	449.7049743	472.5031005	425.2200666	499.6391238	334.8450232	313.6881202
prpf8	448.7353913	496.9627606	482.2713898	582.9917038	595.1430755	532.1890794
tia1l	448.1575359	516.4471772	468.6258544	509.7543978	438.6080916	473.7886996
aif1l	447.1925344	451.4293321	485.8583193	500.8154315	480.7637088	439.501312
KIF22	446.9382551	470.0097538	476.9321018	448.6418105	528.4393146	510.0414108
fubp1	446.8546408	480.9999985	449.1798542	423.3745268	483.6396771	483.2025864
setd8b	445.9910075	450.3306893	507.4530985	467.2862875	503.635841	532.4958088
otud4	445.9818443	413.40266	416.6294551	478.7742445	468.2263572	448.5786986
pom121	445.0019526	442.0224416	425.268493	446.2731546	353.0697776	424.9230941
ctssb.1	444.7488187	419.5997688	390.5676254	403.277164	274.59559	302.9142493
sec24c	443.3863627	505.2459276	477.0649927	546.5358868	441.2918612	515.5805833
srrm1	442.5513645	443.2802922	429.0192837	459.9032554	507.4003199	484.1047317
dvr1	440.7341838	505.2791868	419.4072138	438.9897684	349.3062339	396.5240092
nme2b.2	440.5761183	476.3922415	354.0457014	412.0280183	303.9328057	320.2417552
rcor1	439.2411519	474.8290609	479.1270548	501.6757888	413.5857639	446.7166706
setd2	438.5762459	399.7167875	432.2599083	492.5715561	468.5490268	558.3828699
cdk12	437.0780597	439.1926866	395.1518001	460.2814238	422.4007238	449.7329936
ppp1caa	435.8599244	491.0846126	425.0393124	450.2667678	431.2063311	434.1091892
ppp4r2b	435.5793009	487.6660069	490.3996985	513.4534481	508.1765976	500.3659018
btaf1	435.4636152	367.66586	378.0922061	353.4984472	397.0594675	506.1757179
npc2	434.5186584	466.4210357	456.0901836	484.260602	472.0609817	449.4361877
dnaja2	433.7266127	362.4883353	383.8087693	357.2067329	467.010033	427.9213742
znf865	433.1258492	386.9452693	403.8561573	416.0925989	463.5546622	455.4977024
ASXL1	432.8314808	482.7605532	420.5373499	437.194684	412.4624995	365.7658143
pif1	432.5308127	525.828987	517.3647361	525.5665008	433.6618937	536.108901
nap1l1	431.9695656	384.6482062	375.6157044	327.8534812	349.1187114	292.7781951
papd7	431.3762473	531.523937	495.4653213	549.5787323	384.0409173	530.7050503
lztr1	431.0366355	443.1516174	414.3421541	442.0753888	408.9795381	429.4505105
rcc2	428.9863654	460.9588998	406.1828751	461.1733761	409.3770296	378.8640628
MAF1 (2 of 2)	428.1805749	469.8390961	438.4736864	469.9436735	431.2530948	470.7800448
STT3B	427.1296683	443.1020012	426.6520229	448.2072572	443.7525678	430.8700363
osbpl7	426.8181189	433.1858639	431.806615	472.1256757	425.3080239	422.7457662
naa15a	426.4109284	432.5419447	418.6965851	438.7506183	440.7924247	440.227539
CEP350	424.8881161	346.7801967	404.7216377	460.997416	444.3291643	466.3550218
znf395a	423.784521	437.462665	461.6293712	480.0642944	601.231711	451.2350656
