ID	96_con_rep1	96_con_rep2	96_bap_rep1	96_bap_rep2
crygm2d12	335.3656572	297.203126	312.8544652	346.2331115
uqcrc1	334.7698677	371.6083436	355.7427729	380.2342067
canx	334.1938365	383.5490799	343.8304901	387.3790898
cox8a	333.9726953	328.3128078	366.3469475	391.0920318
cpe	333.9574966	340.6639167	300.1184642	256.4072807
crygm2d14	333.5934874	310.5254909	320.4583626	356.0636159
h2afvl	331.9634256	300.3828992	321.6047944	345.90801
icn	330.4025179	252.0203678	398.5537571	476.294071
anp32a	328.6333878	309.0289825	340.0799839	371.6724463
si:ch211-288g17.3	327.0815993	320.3879481	291.5068059	341.3656351
atp5l	325.8527835	292.8229516	350.3518595	378.4543466
acin1a	323.5395395	307.1528181	313.9044024	268.7566151
oaz2a	322.9338708	337.9418195	336.5179934	287.5599212
flna	322.5128665	347.5818891	260.2003989	284.3637493
UBAP2 (2 of 2)	321.6609787	338.8141684	309.9436531	293.1109589
fstl1b	321.0218729	319.4412652	252.1383122	282.5109534
oaz1	320.2900549	291.1618027	345.7207606	372.1807354
azin1b	318.8628959	374.67508	342.9671516	381.3276785
psap	316.146886	327.3261935	354.4819535	399.3586565
cotl1	315.5510965	274.1718864	309.9532387	386.5162987
zgc:86723	315.168089	292.0359946	281.613879	333.714159
marcksb	314.459829	271.7243949	278.4544817	297.8879723
cct7	312.6405432	356.1333657	338.3788682	335.0581004
mat2aa	312.4080029	387.7916443	385.0541073	288.2598789
chac1	312.253736	259.1441409	409.8193348	238.0545936
tcp1	312.1906613	344.8051166	351.6951146	346.8177289
cct5	309.8363809	320.0666534	315.6496116	325.2083726
marcksl1a	309.7824254	271.1622828	287.3575407	334.124635
rtn4a	309.2861875	381.4677292	369.6367084	403.2615709
eif5a2	309.0004517	341.8520313	336.7748862	406.6980352
desma	308.4859753	347.5745172	313.1682322	316.2621444
pck1	308.4229007	351.4386542	375.2998514	385.8525262
cct8	306.8870708	312.1688242	310.0433428	316.7325521
cct3	306.3558759	336.9687204	321.1881425	330.6141041
cycsb	305.2129327	409.0609848	430.9797563	509.9785455
crygmxl2	304.8512034	263.2994704	322.4566303	315.1211794
syncrip	304.1991786	351.0467115	305.4972359	267.7451253
ewsr1a	303.7880535	296.4862026	296.2676291	270.9203777
itm2ba	302.5934347	300.7029652	326.3087434	328.5119694
txnipa	302.1154352	242.7611828	298.825693	343.7532937
hp1bp3	301.9322908	261.2899963	237.6730779	250.8347581
zgc:73075	301.6298364	326.5853112	268.3557851	261.5738505
setb	301.2734266	304.6266922	295.4272959	328.6352253
fabp3	300.7673095	289.2162189	281.4413391	312.7832755
got2b	300.3858218	325.0851169	320.9964315	319.2649516
MYOM2 (1 of 3)	300.2991892	252.7882805	254.5640954	288.1468001
si:busm1-118j2.5	299.9769765	164.1054145	171.7436637	176.8637041
btg1	298.4411466	275.7851176	300.6673967	336.568833
suclg1	297.6705719	300.799415	297.6843735	318.6322758
zgc:56493	296.7320515	291.3202999	339.8256473	395.9527235
tegt	296.537508	307.9293315	331.1603099	340.2144931
cltca	296.407559	351.9092311	269.1769472	250.3360807
