category	geneName	Gene_ID	Gene_Name	cleavage_2-cell	blastula_1k-cell	gastrula_50%-epiboly	segmentation_1-4_somites	larval_protruding_mouth
Nuclear_receptors	pparda	ENSDARG00000044525	pparda	4	9	2	0.4	6
Nuclear_receptors	ppardb	ENSDARG00000009473	ppardb	5	12	7	17	18
Nuclear_receptors	pparg	ENSDARG00000031848	pparg	9	11	3	1	6
Nuclear_receptors	ppargc1a	ENSDARG00000067829	ppargc1a	0.2			2	9
Nuclear_receptors	ppargc1b	ENSDARG00000101569	ppargc1b	0.1	1	0.1	3	21
Nuclear_receptors	raraa	ENSDARG00000056783	raraa	2	4	18	61	22
Nuclear_receptors	rarab							
Nuclear_receptors	rarab	ENSDARG00000034893	rarab	68	152	54	58	19
Nuclear_receptors	rarga	ENSDARG00000034117	rarga	5	14	2	59	47
Nuclear_receptors	rargb	ENSDARG00000054003	rargb	0.2	1	0.5	1	2
Nuclear_receptors	rxraa	ENSDARG00000057737	rxraa		0.3		5	15
Nuclear_receptors	rxrab	ENSDARG00000035127	rxrab	0.5	2			0.9
Nuclear_receptors	rxrba	ENSDARG00000078954	rxrba	42	66	73	41	22
Nuclear_receptors	rxrbb							
Nuclear_receptors	rxrbb	ENSDARG00000002006	rxrbb	8	22	7	10	11
Nuclear_receptors	rxrgb	ENSDARG00000004697	rxrgb			0.9	8	18
Nuclear_receptors	thraa	ENSDARG00000000151	thraa	5	30	1	1	5
Nuclear_receptors	thrab	ENSDARG00000052654	thrab		3		0.9	8
Nuclear_receptors	thrb	ENSDARG00000021163	thrb	0.7	5	0.2	3	12
Nuclear_receptors	vdra	ENSDARG00000099483	vdra	3	16	3	0.8	2
Nuclear_receptors	vdrb							
Nuclear_receptors	vdrb	ENSDARG00000070721	vdrb	6	9	7	2	7
Oxidative_stress	bach1a	ENSDARG00000062553	bach1a	2	13	2	2	3
Oxidative_stress	bach1b	ENSDARG00000002196	bach1b			1	8	8
Oxidative_stress	bach2a	ENSDARG00000036569	bach2a	5	11	2	0.7	1
Oxidative_stress	bach2b	ENSDARG00000004074	bach2b	1	2	0.3	2	10
Oxidative_stress	keap1a	ENSDARG00000016132	keap1a	0.3	4	2	7	8
Oxidative_stress	keap1b	ENSDARG00000074634	keap1b	11	25	33	40	17
Oxidative_stress	maff							
Oxidative_stress	maff	ENSDARG00000028957	maff	6	6	34	29	51
Oxidative_stress	mafga	ENSDARG00000018109	mafga					3
Oxidative_stress	mafgb	ENSDARG00000100097	mafgb	4	7	0.6	1	3
Oxidative_stress	mafk	ENSDARG00000100947	mafk	0.6	5	2	1	4
Oxidative_stress	nfe2	ENSDARG00000020606	nfe2					1
Oxidative_stress	nfe2l1a							
Oxidative_stress	nfe2l1a	ENSDARG00000030616	nfe2l1a			2	0.9	5
Oxidative_stress	nfe2l1b							
Oxidative_stress	nfe2l1b	ENSDARG00000076533	nfe2l1b	1	2	2	14	9
Oxidative_stress	nfe2l2a	ENSDARG00000042824	nfe2l2a		0.8	0.1	2	52
Oxidative_stress	nfe2l2b	ENSDARG00000089697	nfe2l2b		0.7	0.5	1	5
Oxidative_stress	nfe2l3	ENSDARG00000019810	nfe2l3	18	62	52	81	23
Oxidative_stress	nfkb1	ENSDARG00000105261	nfkb1	11	16	5	3	2
Oxidative_stress	nfkb2							
Oxidative_stress	nfkb2	ENSDARG00000038687	nfkb2	44	34	7	12	8
Phase_II_transferases	NAT16	ENSDARG00000076402	nat16l		0.3			1
Phase_II_transferases	aanat1	ENSDARG00000036567	aanat1	0.8	1	2		2
Phase_II_transferases	aanat2	ENSDARG00000079802	aanat2	3	4	4	4	3
Phase_II_transferases	gsta.1							
Phase_II_transferases	gsta.1	ENSDARG00000090228	gsta.1	2		10	30	106
Phase_II_transferases	gsta.2							
Phase_II_transferases	gsta.2	ENSDARG00000039832	gsta.2			2	7	24
Phase_II_transferases	gstk1	ENSDARG00000056510	gstk1			0.6	2	38
Phase_II_transferases	gstk2							
Phase_II_transferases	gstk4	ENSDARG00000092052	gstk4					
