X3.3_con_rep1	X3.3_con_rep2	X3.3_con_rep3
fam46c	619.4019605055	741.045338218859	715.664712197676
mepce	615.801349370715	675.427870719565	563.665225684627
pcbp2	614.644823971343	661.961184958035	585.084093003527
h3f3a	611.494289327886	506.806084157824	501.55495646696
zgc:55413	610.491587497919	515.247058216675	574.369101798139
acin1a	608.611521516992	630.285318828226	587.379368605354
SRSF7	608.150050808776	558.570358117611	532.33665876946
si:ch211-288g17.3	607.369538645381	611.792921465868	612.688533576217
ESPL1	602.544036113537	672.812279378815	618.835203860398
mapk6	597.268457189845	643.813090548175	631.16744739837
xpo6	593.622268690109	671.91264924457	649.818645786128
nono	591.77068869906	596.576954893409	571.006773033565
atp1a1	590.45464247262	641.663974076759	590.458261293383
lmnb1	587.919402106783	653.970025915382	638.786873129871
eif3s10	587.064826688038	562.440989045961	539.832706576481
hcfc1b	583.219237253945	522.45853786397	538.584476794368
si:ch211-198a12.6	581.464509150983	542.389232791035	579.904439561725
cdt1	580.752362885796	624.948623981175	600.828683268862
atp2b1a	579.818027152996	537.307988482217	541.953474475892
fth1a	576.724464091378	388.858464106925	471.541310181252
cx43.4	574.90136989125	595.271935848248	563.993122128676
sox11b	572.001510605804	491.55679787909	538.33994378613
igf2bp3	566.063350892084	493.009534017133	561.808997939091
cdc27	565.490785400322	505.155096174852	562.198027733897
glulb	562.450206009294	597.88197393857	531.742554695557
caprin1b	559.579402330067	580.450251685848	546.553473591535
mia3	557.989322397059	568.866125254792	543.53404687698
caprin2	556.6163044893	541.51348174567	486.213845645477
siva1	552.481868637882	957.428599983317	756.112692508566
tkt	552.222647443115	561.208162561927	545.139628259463
TNRC6A	551.554939210721	514.617872488487	506.05158480376
myh9a	551.190320291112	575.09134373523	445.471869925694
atp2a2b	550.862733098658	591.878886391941	540.90531713712
chtopa	550.791518422399	567.105737943005	571.301324201987
ddx19	550.205279750995	615.630232687943	635.485677716053
bsg	549.860031268691	530.406936786657	491.541330332322
ddit4	548.414659352516	569.238194561284	556.679362558777
sumo3b	546.884399679919	565.028814032716	532.451144640178
llgl1	546.307846077949	618.617893335186	531.230146976271
tprb	544.509249658012	538.573023981699	509.812391176429
smad5	543.884270211477	579.572834553317	513.826622512401
ewsr1b	543.088375621507	501.19005968366	472.701730352628
smarca5	542.795541093974	617.845988470058	554.889269901058
atp5a1	541.429359875515	395.68676794687	405.17449965749
brd4	537.77861374871	500.208796370893	483.5189808178
rac1	537.507998138096	599.747873517758	565.132423635357
usp10	537.029435955327	563.090721892401	513.242522110013
hyou1	532.178296112176	663.332843212043	634.996611798274
usp7	530.202517774279	546.370929135364	521.190400242484
mcm7	528.362901715938	472.12201026252	462.350204102425
lsm14b	527.99771317999	509.283398921237	506.90467153495
ctnnb1	526.158666837467	481.293795051845	503.790210335786
CCNO	521.196432310248	565.861804856263	554.750886469305
setx	515.94421173511	507.692941704047	575.575094053469
ctnnd1	515.517493791296	567.18903700499	541.344365092109
ADNP (2 of 2)	513.458536744954	544.237361826259	528.628649354618
smarcc1a	513.090499629914	549.038165918989	499.171871353092
anp32b	511.240058971023	497.138392058005	481.970086611148
rasal2	510.874300619777	567.661065124753	524.788369764141
cldn7b	510.325093576048	491.862783271224	431.442900837331
acin1b	510.110879930934	413.169025053492	481.769458408278
btg2	510.012888611211	548.490057972984	478.66889119733
mknk2a	508.117440402667	819.851827837884	637.964353074059
cldng	507.277107879381	767.5344478743	589.71910477208
tatdn2	507.225833356246	473.364277262097	431.25616652398
