X3.3_bap_rep1	X3.3_bap_rep2	X3.3_bap_rep3
zgc:114130	876.449364706278	843.473347260015	918.506174711497
ncapd2	940.006380509647	747.544469508471	944.633739959668
hcfc1a	888.544133005953	913.064588282206	813.885372681906
eif4g2a	945.116915845487	841.157693587275	686.254272780801
cdc20	936.75962921151	808.888240810111	802.053021284882
ivns1abpb	809.581158248127	838.088867691273	872.843733425883
hdlbp	861.623359859658	685.587868590995	607.407303465757
cnot6	596.837158703862	702.747096333891	625.452081467529
xrn2	754.252550263467	780.080573349782	779.210746420753
kif23	854.46067951725	731.124379638061	823.621859145596
pnrc2	594.517342476468	957.698228264736	525.752582422394
mycl1a	693.149186195928	601.11095074643	673.13079786151
parn	895.627503402328	554.498479409001	803.286663228774
zfand5b	743.729110499017	852.679824948021	861.144031704462
etf1	628.432262278862	736.939243362963	739.057688498405
pprc1	630.93052588483	691.089300382609	741.529394211954
ide	794.90385949933	848.70812808752	780.864445834096
ankhd1	748.467880386346	649.940836001429	666.01635340385
UBAP2 (2 of 2)	671.55209394192	675.483197955377	584.025586639792
cdca7a	792.217234822523	863.77625036957	868.603365338293
papolg	745.434274644656	778.574228903258	766.993710984088
chd8	738.013836875664	759.875910095435	745.040189083731
prmt1	803.746919603748	839.567143636318	711.630156468541
mylipa	973.39091507344	720.205721659301	856.014910849151
slc25a5	733.299851371965	689.554887434608	649.457251808035
ccna2	731.525291074536	803.807836940806	804.511462011265
cdc25	708.317215312286	771.837781746155	834.565457676873
srsf1a	738.345947249182	766.467336428152	725.81925052039
CDC6	779.542512516988	886.521115408514	765.95462182586
hnrnpm	532.829067403971	670.720904036249	628.697576988101
cfl1	567.551957460036	640.201056285166	481.385686386786
rbm4.3	769.623811142028	844.862739483666	681.231271626762
nucks1a	767.373391168402	806.642758391064	743.673897366211
kpna4	712.183575589299	800.027941673795	757.924894626148
smc4	747.3377135534	864.038223316791	714.765110560102
CABZ01092303.1	678.927919738797	758.954326763271	717.70109013826
cldnd	958.961459956985	574.941725025943	637.735441741996
smek1	734.732387399656	711.845977932839	718.461614958117
smarca4	715.341103249136	679.45021679899	544.336802582053
anln	803.598213403947	697.881884542667	760.98910215217
plk1	888.38551301191	635.574426956574	675.496383873787
ppm1g	695.88042284485	718.881822672455	660.476018436541
SPEN (2 of 2)	658.203236993129	591.750096200261	572.980289938931
ccne1	733.736056075146	761.728433093649	746.680623411883
ENSDARG00000002369	632.92318853385	625.914174727855	536.674072707079
hdac1	661.668090642855	684.825340133882	603.604679268445
cdh1	810.091716102197	672.405015825524	648.135176681724
ccng1	714.820631702801	799.999873072281	771.25618731827
srsf6a	675.929012073002	704.361036769437	682.517973519315
whsc1	688.10309031871	759.398745070133	685.825372247975
setb	669.777533644491	671.319699401347	711.11724438301
eif4g2b	836.541586367438	801.871108438159	699.059388498251
ckap5	814.954407703719	695.163915215244	671.821987722364
atxn2l	561.697891329148	531.098681901966	509.746187775581
si:ch211-173p18.3	626.667615775676	594.818922096263	732.071472086634
kpnb3	705.813994809197	553.768697570291	573.028928159854
bzw1b	690.303941525078	565.908336663801	495.981572724869
arid2	660.215727128656	628.571328835361	614.358146643771
arid1ab	704.252580068214	768.315181309441	715.843994679826
atf7ip	545.305514844424	624.674481345478	470.760447057349
ubr5	688.648346248675	666.332857270326	584.569450329368
marcksb	737.240564799866	658.2631550926	679.887088253859
zgc:77112	785.877395221195	590.889327987978	757.226272916353
fam46c	723.49515812091	428.8281876009	687.120917399956
mepce	655.928032635873	636.996565798628	659.26448473924
pcbp2	579.195650365165	604.497886692646	609.693299555042
h3f3a	543.035267384289	673.518400851216	579.404956142274
zgc:55413	562.64961078352	476.285521813163	294.947004226564
acin1a	611.093123236887	674.468052784894	703.72423558698
SRSF7	586.378158194082	688.923345451106	584.503125491566
